,Drug_ID,Drug,valid_smiles,mol,sentence,mol2vec
0,CHEMBL1087421,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93870>,MolSentence with 42 words,"(300,) dimensional vector"
1,CHEMBL1088633,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93210>,MolSentence with 40 words,"(300,) dimensional vector"
2,CHEMBL1090360,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c934b0>,MolSentence with 86 words,"(300,) dimensional vector"
3,CHEMBL1688215,Nc1nccc(-c2ccc3c(N)n[nH]c3c2)n1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93a50>,MolSentence with 34 words,"(300,) dimensional vector"
4,CHEMBL1765781,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCC4CN4CCCC4)cc3)c2)n1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93270>,MolSentence with 70 words,"(300,) dimensional vector"
5,CHEMBL1788116,N#CC(=C1Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93b10>,MolSentence with 82 words,"(300,) dimensional vector"
6,CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93b70>,MolSentence with 72 words,"(300,) dimensional vector"
7,CHEMBL1933552,CC1CCC(N2CCC3(CN(C(=O)c4cc5ccc(F)cc5[nH]4)c4ccccc43)C2)CN1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93ab0>,MolSentence with 64 words,"(300,) dimensional vector"
8,CHEMBL202930,COc1cc(-c2ccc3c(c2)NC(=O)C3=Cc2ccc[nH]2)ccc1O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93c30>,MolSentence with 50 words,"(300,) dimensional vector"
9,CHEMBL204420,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCN(C)CC1C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93cf0>,MolSentence with 64 words,"(300,) dimensional vector"
10,CHEMBL206783,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCCC1C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93d50>,MolSentence with 62 words,"(300,) dimensional vector"
11,CHEMBL382638,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCCC1C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93db0>,MolSentence with 60 words,"(300,) dimensional vector"
12,CHEMBL207037,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC(C(N)=O)C1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93e10>,MolSentence with 58 words,"(300,) dimensional vector"
13,CHEMBL207130,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93e70>,MolSentence with 68 words,"(300,) dimensional vector"
14,CHEMBL207235,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC(OC)CC1C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93ed0>,MolSentence with 64 words,"(300,) dimensional vector"
15,CHEMBL207246,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC1C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93f30>,MolSentence with 58 words,"(300,) dimensional vector"
16,CHEMBL207445,COCCC(C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884c93f90>,MolSentence with 64 words,"(300,) dimensional vector"
17,CHEMBL208292,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5030>,MolSentence with 60 words,"(300,) dimensional vector"
18,CHEMBL207674,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCOCC1C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x7fd884ca5090>,MolSentence with 62 words,"(300,) dimensional vector"
